ID Comet;NÚMERO de Estación ;NOMBRE;DIRECCIÓN;BARRIO;COMUNA;EMPLAZAMIENTO;LATITUD;LONGITUD
2;2;RETIRO I;Av. Dr. José María Ramos Mejía 1300;RETIRO;COMUNA 1;PLAZA;-34.592424135701144;-58.37470989599143
3;3;ADUANA;Moreno 4;MONSERRAT;COMUNA 1;VEREDA;-34.6111;-58.3682
4;4;PLAZA ROMA;Av. Corrientes 100;SAN NICOLAS;COMUNA 1;VEREDA;-34.60299498843603;58.368832321694654
5;5;PLAZA ITALIA;Av. Sarmiento 2601 ;PALERMO;COMUNA 14;VEREDA;-34.5807;-58.4204
6;6;PARQUE LEZAMA;Av. Martín Garcia 295 ;SAN TELMO;COMUNA 1;PLAZA;-34.6283;-58.3694
7;7;OBELISCO;Carlos Pellegrini 215 ;SAN NICOLAS;COMUNA 1;PLAZOLETA;-34.6055;-58.3808
8;8;CONGRESO;Virrey Cevallos 84;MONSERRAT;COMUNA 1;PLAZA;-34.6101;-58.3891
9;9;PARQUE LAS HERAS;Av. Cnel. Diaz 2300;PALERMO;COMUNA 14;PLAZA;-34.5856;-58.4078
12;12;PLAZA VICENTE LOPEZ;Parana 1307;RECOLETA;COMUNA 2;PLAZA;-34.5928;-58.3886
13;13;ONCE;Av. Pueyrredón 3;BALVANERA;COMUNA 3;PLAZA;-34.6101;-58.406
14;14;PACÍFICO ;Av. Int. Bullrich 550;PALERMO;COMUNA 14;VEREDA;-34.5778;-58.4253
17;17;PLAZA ALMAGRO;Bulnes 441;ALMAGRO;COMUNA 5;CALZADA;-34.6064;-58.4185
21;21;PARQUE PATRICIOS;Iguazu 201;PARQUE PATRICIOS;COMUNA 4;PLAZOLETA;-34.6403;-58.4065
22;22;ARENALES;Cerrito 1234;RETIRO;COMUNA 1;PLAZOLETA;-34.5943;-58.3828
23;23;SUIPACHA;Suipacha 691;SAN NICOLAS;COMUNA 1;VEREDA;-34.6003;-58.3796
24;24;ALSINA;Bernardo Irigoyen 150;MONSERRAT;COMUNA 1;PLAZOLETA;-34.6107;-58.3806
25;25;PLAZA GÜEMES;Gral. Lucio Norberto Mensilla 3828;PALERMO;COMUNA 14;PLAZA;-34.5897;-58.4165
26;26;JUANA MANSO I;462 Emma de la Barra;PUERTO MADERO;COMUNA 1;VEREDA;-34.6004;-58.3639
27;27;MONTEVIDEO;Av. Córdoba 1606;SAN NICOLAS;COMUNA 1;VEREDA;-34.5994;-58.3897
29;29;PARQUE CENTENARIO;Av. Patricias Argentinas 74;CABALLITO;COMUNA 6;PLAZA;-34.608;-58.4334
30;30;PEÑA;Peña 2300;RECOLETA;COMUNA 2;CALZADA;-34.5906;-58.3974
32;32;CATEDRAL;Bartolomé Mitre 470;SAN NICOLAS;COMUNA 1;VEREDA;-34.606854280458705;-58.37323075981733
33;33;FACULTAD DE MEDICINA;Pres. José Evaristo Uriburu 987;RECOLETA;COMUNA 2;VEREDA;-34.5977;-58.3989
35;35;INGENIERO BUTTY;Ing. Enrique Butty 291;RETIRO;COMUNA 1;PLAZOLETA;-34.5962;-58.3717
36;36;MAIPÙ;Tucumán 536;SAN NICOLAS;COMUNA 1;CALZADA;-34.600989;-58.374525
